run_id,created_at,dataset,file_name,pipeline,model,backend,prompt_variant,accuracy,passed,match_fecha,match_folio,match_rfc_emisor,match_estacion,match_moneda,match_monto_total,status,ocr_engine,ocr_latency_seconds,model_latency_seconds,latency_seconds,input_tokens,output_tokens,estimated_cost,extraction_json,ocr_text,error
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_1.jpg,llm_only,gemini-3.1-flash-lite,gemini,zero_shot,0.6666666666666666,False,True,True,False,False,True,True,success,,0.0,1.5983570829994278,1.5983570829994278,1295,221,0.00065525,"{""fecha"": ""2025-06-03"", ""folio"": ""1174049"", ""rfc_emisor"": ""SGC111213TG9"", ""estacion"": ""SERVICIO GASOLINERO DE LA COSTA, S.A. DE"", ""moneda"": ""MXN"", ""monto_total"": 1571.82, ""productos"": [{""descripcion"": ""MAGNA"", ""cantidad_litros"": 65.005, ""precio_unitario"": 24.18, ""monto"": 1571.82}], ""validation"": {""total_matches_products"": true, ""rfc_format_valid"": true, ""date_format_valid"": true, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_1.jpg,llm_only,google/gemma-4-e2b,lmstudio,zero_shot,0.3333333333333333,False,False,False,False,False,True,True,success,,0.0,4.670998457999303,4.670998457999303,247,162,0.0,"{""fecha"": ""03/06/2025"", ""folio"": ""E13524"", ""rfc_emisor"": null, ""estacion"": ""GASOLINERO DE LA COSTA, S.A. DE CARR. FEDERAL NO. 15 TEPIC"", ""moneda"": ""MXN"", ""monto_total"": 1571.82, ""productos"": [{""descripcion"": null, ""cantidad_litros"": null, ""precio_unitario"": null, ""monto"": null}], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_1.jpg,ocr_llm,gemini-3.1-flash-lite,gemini,zero_shot,0.16666666666666666,False,False,False,False,False,True,False,success,tesseract,0.2819854999997915,1.0484511249997013,1.3304366249994928,351,131,0.00028425,"{""fecha"": null, ""folio"": null, ""rfc_emisor"": null, ""estacion"": null, ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": [""The provided OCR text is illegible and does not contain sufficient data to extract receipt details.""]}}","601 General de Loy Personas Hors
‘te

fai nee
Hol: Sas a (cont 40
e
ds
Te no

‘i oR ME Se
PRODUCTO CANTIDAD UM. PRECIO IMPORTE
ha Pers a,

it ie
even cc
sou re:
“tes hs, Fl",
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_1.jpg,ocr_llm,google/gemma-4-e2b,lmstudio,zero_shot,0.16666666666666666,False,False,False,False,False,True,False,success,tesseract,0.2819854999997915,1.7496694170004048,2.0316549170001963,366,63,0.0,"{""fecha"": null, ""folio"": null, ""rfc_emisor"": null, ""estacion"": null, ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}","601 General de Loy Personas Hors
‘te

fai nee
Hol: Sas a (cont 40
e
ds
Te no

‘i oR ME Se
PRODUCTO CANTIDAD UM. PRECIO IMPORTE
ha Pers a,

it ie
even cc
sou re:
“tes hs, Fl",
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_2.jpg,llm_only,gemini-3.1-flash-lite,gemini,zero_shot,0.6666666666666666,False,False,True,True,True,True,False,success,,0.0,1.7042245830016327,1.7042245830016327,1295,206,0.00063275,"{""fecha"": ""2025-06-04"", ""folio"": ""530036"", ""rfc_emisor"": ""GAF220603TC4"", ""estacion"": ""GAFSACOMM"", ""moneda"": ""MXN"", ""monto_total"": 370.83, ""productos"": [{""descripcion"": ""Premium"", ""cantidad_litros"": 14.839, ""precio_unitario"": 24.99, ""monto"": 370.83}], ""validation"": {""total_matches_products"": true, ""rfc_format_valid"": true, ""date_format_valid"": true, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_2.jpg,llm_only,google/gemma-4-e2b,lmstudio,zero_shot,0.5,False,False,False,True,True,True,False,success,,0.0,2.974590582998644,2.974590582998644,247,122,0.0,"{""fecha"": ""04/06/2023"", ""folio"": ""E14919"", ""rfc_emisor"": null, ""estacion"": ""Gasolin"", ""moneda"": ""MXN"", ""monto_total"": 370.83, ""productos"": [{""descripcion"": null, ""cantidad_litros"": null, ""precio_unitario"": null, ""monto"": null}], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_2.jpg,ocr_llm,gemini-3.1-flash-lite,gemini,zero_shot,0.5,False,False,False,True,True,True,False,success,tesseract,0.12895695900078863,1.0201680419995682,1.1491250010003569,279,123,0.00025425000000000003,"{""fecha"": null, ""folio"": null, ""rfc_emisor"": null, ""estacion"": null, ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": [""No readable data found in the provided OCR text.""]}}",‘,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_2.jpg,ocr_llm,google/gemma-4-e2b,lmstudio,zero_shot,0.5,False,False,False,True,True,True,False,success,tesseract,0.12895695900078863,1.6663187080011994,1.795275667001988,294,63,0.0,"{""fecha"": null, ""folio"": null, ""rfc_emisor"": null, ""estacion"": null, ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}",‘,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_3.jpg,llm_only,gemini-3.1-flash-lite,gemini,zero_shot,0.8333333333333334,False,True,True,True,False,True,True,success,,0.0,1.4877870000000257,1.4877870000000257,1295,232,0.00067175,"{""fecha"": ""2025-06-04"", ""folio"": ""GT8691"", ""rfc_emisor"": ""GTE941124DN6"", ""estacion"": ""GASOLINERA TEOLOYUCAN, S.A. DE C.V."", ""moneda"": ""MXN"", ""monto_total"": 5000.0, ""productos"": [{""descripcion"": ""Diesel Ultrabajo"", ""cantidad_litros"": 195.386623759281, ""precio_unitario"": 25.59, ""monto"": 5000.0}], ""validation"": {""total_matches_products"": true, ""rfc_format_valid"": true, ""date_format_valid"": true, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_3.jpg,llm_only,google/gemma-4-e2b,lmstudio,zero_shot,0.3333333333333333,False,False,False,False,True,True,False,success,,0.0,3.726579457999833,3.726579457999833,247,154,0.0,"{""fecha"": null, ""folio"": ""PL/2616/EXP/ES/2015"", ""rfc_emisor"": null, ""estacion"": ""GASOLINERA TEOLOYUCAN S.A. DE C.V."", ""moneda"": ""MXN"", ""monto_total"": 4560.0, ""productos"": [{""descripcion"": null, ""cantidad_litros"": null, ""precio_unitario"": null, ""monto"": null}], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}",,
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_3.jpg,ocr_llm,gemini-3.1-flash-lite,gemini,zero_shot,0.16666666666666666,False,False,False,False,False,True,False,success,tesseract,0.24965924999924027,1.0831096660003823,1.3327689159996225,406,167,0.000352,"{""fecha"": null, ""folio"": ""sg0216408"", ""rfc_emisor"": null, ""estacion"": ""GASOLINERA TEOLOYUCAN S.A."", ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": false, ""date_format_valid"": false, ""issues"": [""Fecha no encontrada"", ""RFC emisor no encontrado"", ""Monto total no encontrado"", ""No se detectaron productos en el ticket""]}}","'BL/2618/EXP/5S/201
IGASOLINERA 7 .
GGASOLANERA TEOLOYUCAN S.A.
UTOBISTA QUERÉTARO - MEXICO
o

sg0216408

GGresarizaDN

CLAVE CLIENTE PENE

PERMESO C.REe!

Reginen Fisca

Lugar

548

AGREDE

PRONTO 1110

A ORGINAL seesseesreees

Despacho ¥a79652",
20260711T161623Z,2026-07-11T16:16:23.764456+00:00,test,ticket_3.jpg,ocr_llm,google/gemma-4-e2b,lmstudio,zero_shot,0.16666666666666666,False,False,False,False,False,True,False,success,tesseract,0.24965924999924027,2.4803722080014268,2.730031458000667,421,91,0.0,"{""fecha"": null, ""folio"": ""BL/2618/EXP/5S/201"", ""rfc_emisor"": null, ""estacion"": ""GGASOLANERA TEOLOYUCAN S.A."", ""moneda"": ""MXN"", ""monto_total"": null, ""productos"": [], ""validation"": {""total_matches_products"": null, ""rfc_format_valid"": null, ""date_format_valid"": null, ""issues"": []}}","'BL/2618/EXP/5S/201
IGASOLINERA 7 .
GGASOLANERA TEOLOYUCAN S.A.
UTOBISTA QUERÉTARO - MEXICO
o

sg0216408

GGresarizaDN

CLAVE CLIENTE PENE

PERMESO C.REe!

Reginen Fisca

Lugar

548

AGREDE

PRONTO 1110

A ORGINAL seesseesreees

Despacho ¥a79652",
